Year,GDP,Consumption,Government,Investment,Exports,Imports,Net Exports,Tax Revenue (bn USD),Openness Ratio,Saving (bn USD),Private Saving (bn USD),Public Saving (bn USD),Saving Rate,Population,Labor Force,Physical Capital,TFP,FDI (% of GDP),Tax Revenue (% of GDP),Human Capital
1960,59.7162,30.1283,7.4292,23.6385,1.8831,1.8906,-0.0075,nan,0.0632,22.1588,nan,nan,0.3711,667.07,nan,84.37,nan,nan,nan,1.23
1961,50.0567,33.1748,7.1573,11.4156,1.5056,1.4081,0.0975,nan,0.0582,9.7246,nan,nan,0.1943,660.33,nan,84.37,nan,nan,nan,1.25
1962,47.2092,34.0684,5.9903,7.4295,1.5054,1.1277,0.3777,nan,0.0558,7.1504,nan,nan,0.1515,665.77,nan,75,nan,nan,nan,1.28
1963,50.7066,34.2919,6.8631,11.0347,1.6663,1.2107,0.4557,nan,0.0567,9.5517,nan,nan,0.1884,682.34,nan,65.62,nan,nan,nan,1.3
1964,59.7081,36.136,7.5737,14.5374,1.9389,1.4811,0.4578,nan,0.0573,15.9984,nan,nan,0.2679,698.36,nan,75,nan,nan,nan,1.32
1965,70.436,38.6504,8.3025,19.0892,2.2466,1.9164,0.3302,nan,0.0591,23.4831,nan,nan,0.3334,715.18,nan,75,nan,nan,nan,1.35
1966,76.72,41.4776,9.2748,23.3647,2.3706,2.1853,0.1853,nan,0.0594,25.9675,nan,nan,0.3385,735.4,nan,84.37,nan,nan,nan,1.37
1967,72.8814,43.9311,7.9485,17.3914,2.1559,1.9199,0.236,nan,0.0559,21.0018,nan,nan,0.2882,754.55,nan,75,nan,nan,nan,1.39
1968,70.8463,43.7321,7.8829,17.6658,2.1147,1.8452,0.2695,nan,0.0559,19.2313,nan,nan,0.2715,774.51,nan,75,nan,nan,nan,1.41
1969,79.7056,45.8078,9.3568,19.9334,2.2144,1.7312,0.4832,nan,0.0495,24.541,nan,nan,0.3079,796.02,nan,75,nan,nan,nan,1.43
1970,92.6026,49.0209,10.1509,30.438,2.2742,2.2016,0.0727,nan,0.0483,33.4309,nan,nan,0.361,818.32,nan,75,nan,nan,nan,1.45
1971,99.8006,51.2631,11.8207,33.5708,2.7104,2.2331,0.4773,nan,0.0495,36.7168,nan,nan,0.3679,841.11,nan,75,nan,nan,nan,1.48
1972,113.6893,59.4281,13.6539,35.526,3.5372,2.9165,0.6208,nan,0.0568,40.6073,nan,nan,0.3572,862.03,nan,93.75,nan,nan,nan,1.51
1973,138.5432,72.0061,15.9037,45.6583,5.9593,5.2578,0.7015,nan,0.081,50.6334,nan,nan,0.3655,881.94,nan,103.12,nan,nan,nan,1.53
1974,144.189,74.8047,17.3732,47.8797,7.2131,7.7162,-0.5031,nan,0.1035,52.011,nan,nan,0.3607,900.35,nan,103.12,nan,nan,nan,1.56
1975,163.4295,82.1852,19.1277,57.2587,7.9746,8.355,-0.3805,nan,0.0999,62.1165,nan,nan,0.3801,916.39,nan,112.5,nan,nan,nan,1.59
1976,153.9393,81.8218,19.5069,51.1383,7.4406,7.3498,0.0908,nan,0.0961,52.6106,nan,nan,0.3418,930.68,nan,225,nan,nan,nan,1.62
1977,174.9359,88.6952,21.9357,59.2665,8.2711,8.0604,0.2107,nan,0.0934,64.305,nan,nan,0.3676,943.46,nan,225,nan,nan,nan,1.65
